"About the data: Exported on Aug 27, 2020. Criteria: Text - '""2019-nCoV"" OR ""COVID-19"" OR “SARS-CoV-2” OR ""HCoV-2019"" OR ""hcov"" OR ""NCOVID-19"" OR  ""severe acute respiratory syndrome coronavirus 2"" OR ""severe acute respiratory syndrome corona virus 2"" OR ((""coro...' in full data; Publication Year is 2020; Research Organization is University of Michigan–Flint or University of Michigan–Dearborn or University of Michigan or Michigan Medicine or VA Ann Arbor Healthcare System. For more information, please see https://app.dimensions.ai/datasources. © 2020 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,Country of Research organization,Funder,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,Sustainable Development Goals
42,pub.1129852436,10.1016/j.thromres.2020.07.056,32810772,,Heparin-induced thrombocytopenia and thrombosis in a patient with Covid-19,Thrombosis Research,,,2020-12,2020,196,,11-14,All OA; Gold,Article,"Huang, Ching-Tai; Hsu, Shao-Yun; Chang, Ko-Wei; Huang, Chung-Guei; Yang, Cheng-Ta; Cheng, Ming-Huei","Cheng, Ming-Huei (University of Michigan)","Huang, Ching-Tai (); Hsu, Shao-Yun (); Chang, Ko-Wei (); Huang, Chung-Guei (Chang Gung University); Yang, Cheng-Ta (); Cheng, Ming-Huei (University of Michigan)",Chang Gung University; University of Michigan,grid.145695.a; grid.214458.e,Taiwan; United States,,0,0,,,1,http://www.thrombosisresearch.com/article/S0049384820304370/pdf,https://app.dimensions.ai/details/publication/pub.1129852436,11 Medical and Health Sciences; 1103 Clinical Sciences,
33,pub.1128300941,10.1186/s13012-020-01006-x,32513292,PMC7276954,Implementation science in times of Covid-19,Implementation Science,,"Betacoronavirus; Communicable Disease Control; Coronavirus Infections; Data Collection; Data Interpretation, Statistical; Health Services Accessibility; Humans; Implementation Science; Pandemics; Pneumonia, Viral; Telemedicine",2020-12,2020,15,1,42,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)",VA Ann Arbor Healthcare System; National Disability Insurance Agency; University Hospital Heidelberg; Heidelberg University; University of Manchester; University of Michigan,grid.413800.e; grid.507363.4; grid.5253.1; grid.7700.0; grid.5379.8; grid.214458.e,United States; Australia; Germany; Germany; United Kingdom; United States,,0,0,,,52,https://implementationscience.biomedcentral.com/track/pdf/10.1186/s13012-020-01006-x,https://app.dimensions.ai/details/publication/pub.1128300941,1117 Public Health and Health Services; 11 Medical and Health Sciences,
32,pub.1128417885,10.1038/s41597-020-0523-6,32533075,PMC7293349,"CIDO, a community-based ontology for coronavirus disease knowledge and data integration, sharing, and analysis",Scientific Data,,,2020-12,2020,7,1,181,All OA; Gold,Article,"He, Yongqun; Yu, Hong; Ong, Edison; Wang, Yang; Liu, Yingtong; Huffman, Anthony; Huang, Hsin-hui; Beverley, John; Hur, Junguk; Yang, Xiaolin; Chen, Luonan; Omenn, Gilbert S.; Athey, Brian; Smith, Barry","He, Yongqun (University of Michigan)","He, Yongqun (University of Michigan); Yu, Hong (Guizhou University); Ong, Edison (University of Michigan); Wang, Yang (University of Michigan; Guizhou University); Liu, Yingtong (University of Michigan); Huffman, Anthony (University of Michigan); Huang, Hsin-hui (University of Michigan; National Yang Ming University); Beverley, John (Northwestern University); Hur, Junguk (University of North Dakota); Yang, Xiaolin (Chinese Academy of Medical Sciences & Peking Union Medical College); Chen, Luonan (Shanghai Institutes for Biological Sciences; Chinese Academy of Sciences); Omenn, Gilbert S. (University of Michigan); Athey, Brian (University of Michigan); Smith, Barry (University at Buffalo, State University of New York)","Shanghai Institutes for Biological Sciences; Guizhou University; University of North Dakota; University at Buffalo, State University of New York; University of Michigan; National Yang Ming University; Chinese Academy of Sciences; Northwestern University; Chinese Academy of Medical Sciences & Peking Union Medical College",grid.419092.7; grid.443382.a; grid.266862.e; grid.273335.3; grid.214458.e; grid.260770.4; grid.9227.e; grid.16753.36; grid.506261.6,China; China; United States; United States; United States; Taiwan; China; United States; China,United States National Library of Medicine; National Institute of Environmental Health Sciences; National Center for Advancing Translational Sciences; National Cancer Institute; National Institute of General Medical Sciences; National Institute of Allergy and Infectious Diseases,0,0,,,15,https://www.nature.com/articles/s41597-020-0523-6.pdf,https://app.dimensions.ai/details/publication/pub.1128417885,,
24,pub.1127237320,10.1186/s13054-020-02897-4,32354367,PMC7191969,Soluble urokinase plasminogen activator receptor (suPAR) as an early predictor of severe respiratory failure in patients with COVID-19 pneumonia,Critical Care,,"Aged; Betacoronavirus; Biomarkers; Clinical Laboratory Techniques; Coronavirus Infections; Female; Humans; Immunoenzyme Techniques; Male; Middle Aged; Pandemics; Pneumonia, Viral; Receptors, Urokinase Plasminogen Activator; Respiratory Insufficiency",2020-12,2020,24,1,187,All OA; Gold,Article,"Rovina, Nikoletta; Akinosoglou, Karolina; Eugen-Olsen, Jesper; Hayek, Salim; Reiser, Jochen; Giamarellos-Bourboulis, Evangelos J.","Reiser, Jochen (Rush University Medical Center)","Rovina, Nikoletta (National and Kapodistrian University of Athens); Akinosoglou, Karolina (University of Patras); Eugen-Olsen, Jesper (); Hayek, Salim (University of Michigan); Reiser, Jochen (Rush University Medical Center); Giamarellos-Bourboulis, Evangelos J. (National and Kapodistrian University of Athens; University General Hospital Attikon)",University General Hospital Attikon; National and Kapodistrian University of Athens; Rush University Medical Center; University of Michigan; University of Patras,grid.411449.d; grid.5216.0; grid.240684.c; grid.214458.e; grid.11047.33,Greece; Greece; United States; United States; Greece,,8,8,,,115,https://ccforum.biomedcentral.com/track/pdf/10.1186/s13054-020-02897-4,https://app.dimensions.ai/details/publication/pub.1127237320,11 Medical and Health Sciences,
21,pub.1129717898,10.1016/j.ajoc.2020.100843,,PMC7387279,Novel case of an adult with toxic shock syndrome following COVID-19 infection,American Journal of Ophthalmology Case Reports,,,2020-12,2020,20,,100843,All OA; Gold,Article,"Feng, Yilin; Armenti, Stephen T.; Albin, Owen R.; Mian, Shahzad I.","Mian, Shahzad I. (University of Michigan)","Feng, Yilin (University of Michigan); Armenti, Stephen T. (University of Michigan); Albin, Owen R. (University of Michigan); Mian, Shahzad I. (University of Michigan)",University of Michigan,grid.214458.e,United States,,0,0,,,6,https://doi.org/10.1016/j.ajoc.2020.100843,https://app.dimensions.ai/details/publication/pub.1129717898,11 Medical and Health Sciences; 1107 Immunology,
13,pub.1126671524,10.1186/s13063-020-04304-3,32293511,PMC7156793,COVID-19 randomised trial protocols: rapid publication without barriers,Trials,,"Abstracting and Indexing; Access to Information; Betacoronavirus; Coronavirus Infections; Disclosure; Editorial Policies; Humans; Pandemics; Pneumonia, Viral; Randomized Controlled Trials as Topic; Time Factors",2020-12,2020,21,1,327,All OA; Gold,Article,"Treweek, Shaun; Jüni, Peter; Li, Tianjing; Collin, Jonathan; Briel, Matthias; Chan, An-Wen; Hemming, Karla; Meurer, William J.; Sydes, Matthew R.; Grimshaw, Jeremy M.","Treweek, Shaun (University of Aberdeen)","Treweek, Shaun (University of Aberdeen); Jüni, Peter (University of Toronto); Li, Tianjing (University of Colorado Denver); Collin, Jonathan (BioMed Central (United Kingdom)); Briel, Matthias (University of Basel); Chan, An-Wen (University of Toronto); Hemming, Karla (University of Birmingham); Meurer, William J. (University of Michigan); Sydes, Matthew R. (University College London); Grimshaw, Jeremy M. (Ottawa Hospital)",University of Colorado Denver; BioMed Central (United Kingdom); University of Birmingham; University College London; University of Michigan; University of Toronto; University of Basel; Ottawa Hospital; University of Aberdeen,grid.241116.1; grid.431362.1; grid.6572.6; grid.83440.3b; grid.214458.e; grid.17063.33; grid.6612.3; grid.412687.e; grid.7107.1,United States; United Kingdom; United Kingdom; United Kingdom; United States; Canada; Switzerland; Canada; United Kingdom,Medical Research Council,2,2,,,52,https://trialsjournal.biomedcentral.com/track/pdf/10.1186/s13063-020-04304-3,https://app.dimensions.ai/details/publication/pub.1126671524,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences; 1103 Clinical Sciences,
12,pub.1130158787,10.1038/s41525-020-00143-y,,,Pharmacogenomics of COVID-19 therapies,npj Genomic Medicine,,,2020-12,2020,5,1,35,All OA; Gold,Article,"Takahashi, Takuto; Luzum, Jasmine A.; Nicol, Melanie R.; Jacobson, Pamala A.","Jacobson, Pamala A. (University of Minnesota)","Takahashi, Takuto (University of Minnesota; University of Minnesota); Luzum, Jasmine A. (University of Michigan); Nicol, Melanie R. (University of Minnesota); Jacobson, Pamala A. (University of Minnesota)",University of Minnesota; University of Michigan,grid.17635.36; grid.214458.e,United States; United States,National Heart Lung and Blood Institute; National Institute of Allergy and Infectious Diseases,0,0,,,7,https://www.nature.com/articles/s41525-020-00143-y.pdf,https://app.dimensions.ai/details/publication/pub.1130158787,11 Medical and Health Sciences; 1115 Pharmacology and Pharmaceutical Sciences,
9,pub.1130183049,10.1038/s41746-020-00308-0,,,International electronic health record-derived COVID-19 clinical course profiles: the 4CE consortium,npj Digital Medicine,,,2020-12,2020,3,1,109,All OA; Gold,Article,"Brat, Gabriel A.; Weber, Griffin M.; Gehlenborg, Nils; Avillach, Paul; Palmer, Nathan P.; Chiovato, Luca; Cimino, James; Waitman, Lemuel R.; Omenn, Gilbert S.; Malovini, Alberto; Moore, Jason H.; Beaulieu-Jones, Brett K.; Tibollo, Valentina; Murphy, Shawn N.; Yi, Sehi L’; Keller, Mark S.; Bellazzi, Riccardo; Hanauer, David A.; Serret-Larmande, Arnaud; Gutierrez-Sacristan, Alba; Holmes, John J.; Bell, Douglas S.; Mandl, Kenneth D.; Follett, Robert W.; Klann, Jeffrey G.; Murad, Douglas A.; Scudeller, Luigia; Bucalo, Mauro; Kirchoff, Katie; Craig, Jean; Obeid, Jihad; Jouhet, Vianney; Griffier, Romain; Cossin, Sebastien; Moal, Bertrand; Patel, Lav P.; Bellasi, Antonio; Prokosch, Hans U.; Kraska, Detlef; Sliz, Piotr; Tan, Amelia L. M.; Ngiam, Kee Yuan; Zambelli, Alberto; Mowery, Danielle L.; Schiver, Emily; Devkota, Batsal; Bradford, Robert L.; Daniar, Mohamad; Daniel, Christel; Benoit, Vincent; Bey, Romain; Paris, Nicolas; Serre, Patricia; Orlova, Nina; Dubiel, Julien; Hilka, Martin; Jannot, Anne Sophie; Breant, Stephane; Leblanc, Judith; Griffon, Nicolas; Burgun, Anita; Bernaux, Melodie; Sandrin, Arnaud; Salamanca, Elisa; Cormont, Sylvie; Ganslandt, Thomas; Gradinger, Tobias; Champ, Julien; Boeker, Martin; Martel, Patricia; Esteve, Loic; Gramfort, Alexandre; Grisel, Olivier; Leprovost, Damien; Moreau, Thomas; Varoquaux, Gael; Vie, Jill-Jênn; Wassermann, Demian; Mensch, Arthur; Caucheteux, Charlotte; Haverkamp, Christian; Lemaitre, Guillaume; Bosari, Silvano; Krantz, Ian D.; South, Andrew; Cai, Tianxi; Kohane, Isaac S.","Cai, Tianxi (Harvard University)","Brat, Gabriel A. (Harvard University); Weber, Griffin M. (Harvard University); Gehlenborg, Nils (Harvard University); Avillach, Paul (Harvard University); Palmer, Nathan P. (Harvard University); Chiovato, Luca (University of Pavia); Cimino, James (University of Alabama at Birmingham); Waitman, Lemuel R. (University of Kansas Medical Center); Omenn, Gilbert S. (University of Michigan); Malovini, Alberto (); Moore, Jason H. (University of Pennsylvania; University of Pennsylvania); Beaulieu-Jones, Brett K. (Harvard University); Tibollo, Valentina (); Murphy, Shawn N. (Massachusetts General Hospital); Yi, Sehi L’ (Harvard University); Keller, Mark S. (Harvard University); Bellazzi, Riccardo (University of Pavia); Hanauer, David A. (University of Michigan); Serret-Larmande, Arnaud (Harvard University); Gutierrez-Sacristan, Alba (Harvard University); Holmes, John J. (University of Pennsylvania; University of Michigan); Bell, Douglas S. (University of California, Los Angeles); Mandl, Kenneth D. (Boston Children's Hospital); Follett, Robert W. (University of California, Los Angeles); Klann, Jeffrey G. (Massachusetts General Hospital); Murad, Douglas A. (University of California, Los Angeles); Scudeller, Luigia (); Bucalo, Mauro (); Kirchoff, Katie (Medical University of South Carolina); Craig, Jean (Medical University of South Carolina); Obeid, Jihad (Medical University of South Carolina); Jouhet, Vianney (Centre Hospitalier Universitaire de Bordeaux); Griffier, Romain (Centre Hospitalier Universitaire de Bordeaux); Cossin, Sebastien (Centre Hospitalier Universitaire de Bordeaux); Moal, Bertrand (Centre Hospitalier Universitaire de Bordeaux); Patel, Lav P. (University of Kansas Medical Center); Bellasi, Antonio (); Prokosch, Hans U. (University of Erlangen-Nuremberg); Kraska, Detlef (University Hospital Erlangen); Sliz, Piotr (Boston Children's Hospital); Tan, Amelia L. M. (Harvard University); Ngiam, Kee Yuan (National University Health System); Zambelli, Alberto (); Mowery, Danielle L. (University of Pennsylvania; University of Michigan); Schiver, Emily (); Devkota, Batsal (Children's Hospital of Philadelphia); Bradford, Robert L. (University of North Carolina at Chapel Hill); Daniar, Mohamad (Boston Children's Hospital); Daniel, Christel (); Benoit, Vincent (); Bey, Romain (); Paris, Nicolas (); Serre, Patricia (); Orlova, Nina (); Dubiel, Julien (); Hilka, Martin (); Jannot, Anne Sophie (Hôpital Européen Georges-Pompidou); Breant, Stephane (); Leblanc, Judith (Hôpital Saint-Antoine); Griffon, Nicolas (); Burgun, Anita (Hôpital Européen Georges-Pompidou); Bernaux, Melodie (); Sandrin, Arnaud (); Salamanca, Elisa (); Cormont, Sylvie (); Ganslandt, Thomas (University Medical Centre Mannheim); Gradinger, Tobias (University Medical Centre Mannheim); Champ, Julien (Montpellier Laboratory of Informatics, Robotics and Microelectronics); Boeker, Martin (University of Freiburg); Martel, Patricia (); Esteve, Loic (); Gramfort, Alexandre (French Institute for Research in Computer Science and Automation); Grisel, Olivier (French Institute for Research in Computer Science and Automation); Leprovost, Damien (); Moreau, Thomas (French Institute for Research in Computer Science and Automation); Varoquaux, Gael (French Institute for Research in Computer Science and Automation); Vie, Jill-Jênn (); Wassermann, Demian (French Institute for Research in Computer Science and Automation); Mensch, Arthur (École Normale Supérieure); Caucheteux, Charlotte (French Institute for Research in Computer Science and Automation); Haverkamp, Christian (University of Freiburg); Lemaitre, Guillaume (French Institute for Research in Computer Science and Automation); Bosari, Silvano (); Krantz, Ian D. (Children's Hospital of Philadelphia); South, Andrew (Wake Forest University); Cai, Tianxi (Harvard University); Kohane, Isaac S. (Harvard University)","Massachusetts General Hospital; University of California, Los Angeles; École Normale Supérieure; University of Kansas Medical Center; University of Erlangen-Nuremberg; National University Health System; Montpellier Laboratory of Informatics, Robotics and Microelectronics; Harvard University; University of Freiburg; University of Michigan; University of Alabama at Birmingham; French Institute for Research in Computer Science and Automation; Hôpital Saint-Antoine; Boston Children's Hospital; Children's Hospital of Philadelphia; University Medical Centre Mannheim; University of North Carolina at Chapel Hill; Medical University of South Carolina; Wake Forest University; Hôpital Européen Georges-Pompidou; University of Pavia; University Hospital Erlangen; University of Pennsylvania; Centre Hospitalier Universitaire de Bordeaux",grid.32224.35; grid.19006.3e; grid.5607.4; grid.412016.0; grid.5330.5; grid.410759.e; grid.464638.b; grid.38142.3c; grid.5963.9; grid.214458.e; grid.265892.2; grid.5328.c; grid.412370.3; grid.2515.3; grid.239552.a; grid.411778.c; grid.10698.36; grid.259828.c; grid.241167.7; grid.414093.b; grid.8982.b; grid.411668.c; grid.25879.31; grid.42399.35,United States; United States; France; United States; Germany; Singapore; France; United States; Germany; United States; United States; France; France; United States; United States; Germany; United States; United States; United States; France; Italy; Germany; United States; France,,1,1,,,107,https://www.nature.com/articles/s41746-020-00308-0.pdf,https://app.dimensions.ai/details/publication/pub.1130183049,1117 Public Health and Health Services; 11 Medical and Health Sciences,
3,pub.1129665284,10.1016/j.jclinane.2020.110016,32829111,PMC7383138,Managing the post-COVID-19 pediatric surgical surge – Opportunities and challenges,Journal of Clinical Anesthesia,,,2020-12,2020,67,,110016,All OA; Gold,Article,"Christensen, Robert; Haydar, Bishr; Malviya, Shobha","Christensen, Robert (University of Michigan)","Christensen, Robert (University of Michigan); Haydar, Bishr (University of Michigan); Malviya, Shobha (University of Michigan)",University of Michigan,grid.214458.e,United States,,0,0,,,,https://doi.org/10.1016/j.jclinane.2020.110016,https://app.dimensions.ai/details/publication/pub.1129665284,11 Medical and Health Sciences; 1103 Clinical Sciences,
2,pub.1129556375,10.1186/s13012-020-01019-6,32698812,PMC7374070,Protocol: examining the effectiveness of an adaptive implementation intervention to improve uptake of the VA suicide risk identification strategy: a sequential multiple assignment randomized trial,Implementation Science,,,2020-12,2020,15,1,58,All OA; Gold,Article,"Bahraini, Nazanin H.; Matarazzo, Bridget B.; Barry, Catherine N.; Post, Edward P.; Forster, Jeri E.; Dollar, Katherine M.; Dobscha, Steven K.; Brenner, Lisa A.","Bahraini, Nazanin H. (Case Western Reserve University; Case Western Reserve University)","Bahraini, Nazanin H. (Case Western Reserve University; Case Western Reserve University); Matarazzo, Bridget B. (Case Western Reserve University); Barry, Catherine N. (); Post, Edward P. (University of Michigan); Forster, Jeri E. (Case Western Reserve University); Dollar, Katherine M. (); Dobscha, Steven K. (Oregon Health & Science University); Brenner, Lisa A. (Case Western Reserve University; Case Western Reserve University)",Case Western Reserve University; University of Michigan; Oregon Health & Science University,grid.67105.35; grid.214458.e; grid.5288.7,United States; United States; United States,Quality Enhancement Research Initiative,0,0,,,10,https://implementationscience.biomedcentral.com/track/pdf/10.1186/s13012-020-01019-6,https://app.dimensions.ai/details/publication/pub.1129556375,1117 Public Health and Health Services; 11 Medical and Health Sciences,
